caller_id,called_id,link_type
520,626,Call
521,640,Call
522,601,Call
522,602,Call
522,603,Call
525,595,Call
525,596,Call
525,597,Call
525,598,Call
527,646,Call
527,647,Call
530,531,Call
530,641,Call
530,8001,Call
532,533,Call
535,536,Call
538,579,Call
540,521,Call
541,543,Call
541,544,Call
543,542,Call
545,534,Call
547,540,Call
548,549,Call
549,550,Call
549,8003,Call
551,552,Call
555,530,Call
555,558,Call
556,529,Call
559,532,Call
560,561,Call
561,529,Call
561,642,Call
562,563,Call
568,520,Call
568,522,Call
568,524,Call
568,525,Call
568,526,Call
568,527,Call
569,570,Call
571,569,Call
572,538,Call
572,573,Call
572,575,Call
572,577,Call
572,580,Call
572,582,Call
572,584,Call
572,586,Call
573,574,Call
575,576,Call
577,578,Call
580,581,Call
582,583,Call
584,585,Call
586,524,Call
586,527,Call
589,587,Call
589,588,Call
594,528,Call
594,535,Call
594,540,Call
594,546,Call
594,548,Call
594,553,Call
594,555,Call
594,562,Call
595,562,Call
596,564,Call
597,565,Call
598,566,Call
601,555,Call
602,556,Call
603,557,Call
604,559,Call
605,560,Call
606,561,Call
620,553,Call
621,554,Call
626,548,Call
627,551,Call
628,552,Call
634,540,Call
639,542,Call
640,545,Call
641,535,Call
641,536,Call
642,528,Call
642,529,Call
642,530,Call
642,532,Call
642,534,Call
1318,1334,Call
1319,1334,Call
1319,1351,Call
1319,1363,Call
1320,1334,Call
1327,1395,Call
1334,1320,Call
1351,1334,Call
1356,1421,Call
1363,1334,Call
1373,1334,Call
1374,1334,Call
1375,1334,Call
1376,1334,Call
1376,1468,Call
1377,1334,Call
1378,1334,Call
1378,1468,Call
1379,1334,Call
1380,1334,Call
1381,1304,Call
1381,1320,Call
1381,1334,Call
1381,1351,Call
1381,1356,Call
1381,1363,Call
1381,1415,Call
1381,1421,Call
1381,1441,Call
1382,1304,Call
1382,1421,Call
1382,1441,Call
1383,1310,Call
1383,1311,Call
1383,1312,Call
1383,1313,Call
1383,1314,Call
1383,1373,Call
1383,1374,Call
1383,1384,Call
1383,1386,Call
1383,1387,Call
1384,1334,Call
1385,1334,Call
1385,1351,Call
1385,1363,Call
1386,1334,Call
1387,1334,Call
1388,1334,Call
1389,1310,Call
1389,1334,Call
1390,1310,Call
1390,1334,Call
1391,1310,Call
1391,1334,Call
1392,1310,Call
1392,1334,Call
1393,1310,Call
1393,1334,Call
1394,1334,Call
1421,1304,Call
1421,1441,Call
1441,1320,Call
1441,1334,Call
1468,1334,Call
8002,546,Call
8051,8220,Call
8052,8221,Call
8053,8222,Call
8068,8279,Call
8072,8242,Call
8081,8243,Call
8086,8244,Call
8088,8245,Call
8090,8246,Call
8092,8247,Call
8094,8248,Call
8096,8249,Call
8098,8250,Call
8100,8251,Call
8102,8252,Call
8104,8253,Call
8106,8254,Call
8108,8255,Call
8110,8256,Call
8112,8257,Call
8114,8258,Call
8116,8259,Call
8118,8260,Call
8120,8261,Call
8120,8262,Call
8122,8263,Call
8124,8264,Call
8126,8265,Call
8128,8266,Call
8130,8267,Call
8132,8268,Call
8134,8269,Call
8136,8270,Call
8138,8271,Call
8139,8288,Call
8141,8272,Call
8143,8273,Call
8145,8274,Call
8147,8277,Call
8155,8280,Call
8155,8281,Call
8168,8284,Call
8168,8285,Call
8168,8286,Call
8180,8287,Call
8183,8290,Call
8188,8291,Call
8202,8206,Call
8220,9918,Call
8221,9896,Call
8221,9916,Call
8221,9917,Call
8222,9896,Call
8222,9915,Call
8223,9912,Call
8224,8375,Call
8224,9905,Call
8225,8375,Call
8225,9902,Call
8226,8375,Call
8226,9899,Call
8227,9896,Call
8227,9897,Call
8228,9895,Call
8228,9896,Call
8230,9893,Call
8231,9689,Call
8232,9682,Call
8233,9477,Call
8234,9473,Call
8235,9468,Call
8236,1320,Call
8236,1334,Call
8236,8374,Call
8236,8375,Call
8236,8406,Call
8236,9465,Call
8237,1334,Call
8237,8375,Call
8237,8406,Call
8237,9458,Call
8238,1334,Call
8238,8375,Call
8238,8406,Call
8238,9451,Call
8239,1334,Call
8239,8375,Call
8239,8406,Call
8239,9444,Call
8240,1334,Call
8240,8375,Call
8240,8406,Call
8240,9436,Call
8241,1334,Call
8241,8375,Call
8241,8406,Call
8241,9427,Call
8242,1334,Call
8242,8375,Call
8242,8406,Call
