id,name,fullname,type,is_category,internal_type,external
462,Contents.json,C:\CASTMS\Deploy_demo\Banking system\main_sources\iOSApp\StockManagement\Assets.xcassets\AppIcon.appiconset\Contents.json,C CPP Miscellaneous file,C CPP Miscellaneous file,CAST_Cpp_AdditionalFile,1
520,purchases.html,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\views\customers\purchases.html/CAST_HTML5_SourceCode,HTML5 source code,HTML5 source code,CAST_HTML5_SourceCode,1
521,newCustomerModal.html,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\views\customers\newCustomerModal.html/CAST_HTML5_SourceCode,HTML5 source code,HTML5 source code,CAST_HTML5_SourceCode,1
522,list.html,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\views\customers\list.html/CAST_HTML5_SourceCode,HTML5 source code,HTML5 source code,CAST_HTML5_SourceCode,1
524,index.html,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\views\customers\index.html/CAST_HTML5_SourceCode,HTML5 source code,HTML5 source code,CAST_HTML5_SourceCode,1
525,details.html,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\views\customers\details.html/CAST_HTML5_SourceCode,HTML5 source code,HTML5 source code,CAST_HTML5_SourceCode,1
526,home.html,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\views\home.html/CAST_HTML5_SourceCode,HTML5 source code,HTML5 source code,CAST_HTML5_SourceCode,1
527,index.html,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\index.html/CAST_HTML5_SourceCode,HTML5 source code,HTML5 source code,CAST_HTML5_SourceCode,1
528,service_PARAM_2_4,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\services\CustomersService.js/CAST_HTML5_JavaScript_SourceCode.service_PARAM_2_4,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
529,setCurrentCustomer,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\services\CustomersService.js/CAST_HTML5_JavaScript_SourceCode.service_PARAM_2_4.setCurrentCustomer,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
530,getCustomers,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\services\CustomersService.js/CAST_HTML5_JavaScript_SourceCode.service_PARAM_2_4.getCustomers,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
531,then_PARAM_1,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\services\CustomersService.js/CAST_HTML5_JavaScript_SourceCode.service_PARAM_2_4.getCustomers.then_PARAM_1,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
532,removeCustomer,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\services\CustomersService.js/CAST_HTML5_JavaScript_SourceCode.service_PARAM_2_4.removeCustomer,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
533,then_PARAM_1,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\services\CustomersService.js/CAST_HTML5_JavaScript_SourceCode.service_PARAM_2_4.removeCustomer.then_PARAM_1,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
534,createCustomer,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\services\CustomersService.js/CAST_HTML5_JavaScript_SourceCode.service_PARAM_2_4.createCustomer,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
535,service_PARAM_2_3,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\services\Customer.js/CAST_HTML5_JavaScript_SourceCode.service_PARAM_2_3,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
536,Restangular_extendModel_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\services\Customer.js/CAST_HTML5_JavaScript_SourceCode.service_PARAM_2_3.Restangular_extendModel_PARAM_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
537,fullname,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\services\Customer.js/CAST_HTML5_JavaScript_SourceCode.service_PARAM_2_3.Restangular_extendModel_PARAM_2.fullname,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
538,app_put_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_put_PARAM_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
539,over18,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\services\Customer.js/CAST_HTML5_JavaScript_SourceCode.service_PARAM_2_3.Restangular_extendModel_PARAM_2.over18,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
540,directive_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_HTML5_JavaScript_SourceCode.directive_PARAM_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
541,link,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_HTML5_JavaScript_SourceCode.directive_PARAM_2.link,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
542,showModal,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_HTML5_JavaScript_SourceCode.directive_PARAM_2.link.showModal,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
543,scope_$watch_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_HTML5_JavaScript_SourceCode.directive_PARAM_2.link.scope_$watch_PARAM_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
544,element_bind_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_HTML5_JavaScript_SourceCode.directive_PARAM_2.link.element_bind_PARAM_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
545,save,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_HTML5_JavaScript_SourceCode.directive_PARAM_2.link.save,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
546,controller,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_HTML5_JavaScript_SourceCode.directive_PARAM_2.controller,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
547,newCustomerModal.js,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_HTML5_JavaScript_SourceCode/INIT,HTML5 JavaScript initialisation,HTML5 JavaScript initialisation,CAST_HTML5_JavaScript_Initialisation,1
548,controller_PARAM_2_4,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersPurchasesCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_4,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
