tran_id,start_id,end_id
157053,520,8003
157055,522,8001
157059,527,646
157059,527,647
157063,594,8001
157063,594,8003
157091,8053,1428
157092,8052,1462
157093,8051,1304
157101,8072,1320
157101,8072,1334
157101,8072,9419
157105,8081,1320
157105,8081,1334
157106,8086,1320
157106,8086,1334
157107,8088,1320
157107,8088,1334
157108,8090,1320
157108,8090,1334
157109,8092,1320
157109,8092,1334
157110,8094,1320
157110,8094,1334
157111,8096,1320
157111,8096,1334
157112,8098,1320
157112,8098,1334
157113,8100,1320
157113,8100,1334
157114,8102,1320
157114,8102,1334
157115,8104,1320
157115,8104,1334
157116,8106,1320
157116,8106,1334
157117,8108,1320
157117,8108,1334
157118,8110,1320
157118,8110,1334
157119,8112,1320
157119,8112,1334
157120,8114,1320
157120,8114,1334
157121,8116,1320
157121,8116,1334
157122,8118,1320
157122,8118,1334
157123,8120,1320
157123,8120,1334
157124,8122,1320
157124,8122,1334
157125,8124,1320
157125,8124,1334
157126,8126,1320
157126,8126,1334
157127,8128,1304
157128,8130,1320
157128,8130,1334
157129,8132,1320
157129,8132,1334
157129,8132,1441
157130,8134,1320
157130,8134,1334
157130,8134,1441
157131,8136,1320
157131,8136,1334
157131,8136,1441
157132,8138,1320
157132,8138,1334
157133,8141,1320
157133,8141,1334
157134,8143,1320
157134,8143,1334
157135,8145,1320
157135,8145,1334
157135,8145,1363
157136,8147,1320
157136,8147,1334
157136,8147,1351
157139,8168,8903
157139,8168,8904
157139,8168,8905
157139,8168,8909
157139,8168,8910
157139,8168,8914
157140,8180,1304
157140,8180,1320
157140,8180,1334
157140,8180,1356
157140,8180,1421
157140,8180,1441
157141,8139,1415
157142,8183,1320
157142,8183,1334
157142,8183,8866
157143,8188,1320
157143,8188,1334
157143,8188,8857
