tran_id,tran_name,tran_fullname
157053,...s\CustomersManagement\public\views\customers\purchases.html/CAST_HTML5_SourceCode,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\views\customers\purchases.html/CAST_HTML5_SourceCode
157055,...ources\CustomersManagement\public\views\customers\list.html/CAST_HTML5_SourceCode,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\views\customers\list.html/CAST_HTML5_SourceCode
157059,...g system\main_sources\CustomersManagement\public\index.html/CAST_HTML5_SourceCode,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\index.html/CAST_HTML5_SourceCode
157063,...tem\main_sources\CustomersManagement\public/CAST_AngularJS_Application/index.html,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public/CAST_AngularJS_Application/index.html
157091,...StockManagementCobol\LegacyStockMngt\Mainframe\etc].[DFHCSD.CSD].RESTAPPX.GETPART,[C:\CASTMS\Deploy_demo\Banking system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\etc].[DFHCSD.CSD].RESTAPPX.GETPART
157092,...tockManagementCobol\LegacyStockMngt\Mainframe\etc].[DFHCSD.CSD].RESTAPPX.GETSUPPL,[C:\CASTMS\Deploy_demo\Banking system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\etc].[DFHCSD.CSD].RESTAPPX.GETSUPPL
157093,...s\StockManagementCobol\LegacyStockMngt\Mainframe\etc].[DFHCSD.CSD].RESTAPPX.PROG1,[C:\CASTMS\Deploy_demo\Banking system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\etc].[DFHCSD.CSD].RESTAPPX.PROG1
157101,... system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRSETC,[C:\CASTMS\Deploy_demo\Banking system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRSETC
157105,... system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRPT30,[C:\CASTMS\Deploy_demo\Banking system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRPT30
157106,... system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRPT29,[C:\CASTMS\Deploy_demo\Banking system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRPT29
157107,... system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRPT28,[C:\CASTMS\Deploy_demo\Banking system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRPT28
157108,... system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRPT27,[C:\CASTMS\Deploy_demo\Banking system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRPT27
157109,... system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRPT26,[C:\CASTMS\Deploy_demo\Banking system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRPT26
157110,... system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRPT25,[C:\CASTMS\Deploy_demo\Banking system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRPT25
157111,... system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRPT24,[C:\CASTMS\Deploy_demo\Banking system\main_sources\StockManagementCobol\LegacyStockMngt\Mainframe\JCL].JOBRPT24
